GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Rechizite de birou > Pixuri si mine > Stilouri cu penita;Rechizite de birou;Pixuri si mine;Stilouri cu penita;EXISTING;11;458
Rechizite de birou > Pixuri si mine;Rechizite de birou;Pixuri si mine;;EXISTING;4;458
Rechizite de birou > Produse prezentare si informare;Rechizite de birou;Produse prezentare si informare;;EXISTING;3;3
Rechizite de birou > Rame pentru documente;Rechizite de birou;Rame pentru documente;;EXISTING;10;18
Rechizite de birou > Servetele pentru tehnica de birou;Rechizite de birou;Servetele pentru tehnica de birou;;EXISTING;9;9
Rechizite de birou > Seturi birou din lemn;Rechizite de birou;Seturi birou din lemn;;EXISTING;1;1
Rechizite de birou > Seturi si suporturi din plastic si metal;Rechizite de birou;Seturi si suporturi din plastic si metal;;EXISTING;29;33
Rechizite de birou > Stampile si accesorii;Rechizite de birou;Stampile si accesorii;;EXISTING;57;162
Rechizite de birou > Suporturi si tavi;Rechizite de birou;Suporturi si tavi;;EXISTING;31;33
Rechizite de birou > Urne pentru birou;Rechizite de birou;Urne pentru birou;;EXISTING;16;20
Rechizite scoala si gradinita > Accesorii;Rechizite scoala si gradinita;Accesorii;;EXISTING;7;8
Rechizite scoala si gradinita > Acuarela;Rechizite scoala si gradinita;Acuarela;;EXISTING;15;15
Rechizite scoala si gradinita > Agenda elevului;Rechizite scoala si gradinita;Agenda elevului;;EXISTING;8;8
Rechizite scoala si gradinita > Albume, mape si blocuri desen;Rechizite scoala si gradinita;Albume, mape si blocuri desen;;EXISTING;26;26
Rechizite scoala si gradinita > Betisoare scolare si evantai;Rechizite scoala si gradinita;Betisoare scolare si evantai;;EXISTING;4;5
Rechizite scoala si gradinita > Caiete de muzica;Rechizite scoala si gradinita;Caiete de muzica;;EXISTING;3;3
Rechizite scoala si gradinita > Carioci;Rechizite scoala si gradinita;Carioci;;EXISTING;27;27
Rechizite scoala si gradinita > Compasuri si truse;Rechizite scoala si gradinita;Compasuri si truse;;EXISTING;17;17
Rechizite scoala si gradinita > Covoras de masa;Rechizite scoala si gradinita;Covoras de masa;;EXISTING;5;5
Rechizite scoala si gradinita > Creioane colorate si cerate;Rechizite scoala si gradinita;Creioane colorate si cerate;;EXISTING;60;77
Rechizite scoala si gradinita > Creta;Rechizite scoala si gradinita;Creta;;EXISTING;20;21
Rechizite scoala si gradinita > Foarfece pentru gradinita;Rechizite scoala si gradinita;Foarfece pentru gradinita;;EXISTING;43;43
Rechizite scoala si gradinita > Genti pentru sport;Rechizite scoala si gradinita;Genti pentru sport;;EXISTING;2;2
Rechizite scoala si gradinita > Ghiozdane si genti;Rechizite scoala si gradinita;Ghiozdane si genti;;EXISTING;128;128
Rechizite scoala si gradinita > Globuri geografice;Rechizite scoala si gradinita;Globuri geografice;;EXISTING;12;12
Rechizite scoala si gradinita > Guas;Rechizite scoala si gradinita;Guas;;EXISTING;26;26
Rechizite scoala si gradinita > Hirtie si carton colorat;Rechizite scoala si gradinita;Hirtie si carton colorat;;EXISTING;33;35
Rechizite scoala si gradinita > Hirtie si carton decor;Rechizite scoala si gradinita;Hirtie si carton decor;;EXISTING;2;2
Rechizite scoala si gradinita > Invelitori pentru caiete;Rechizite scoala si gradinita;Invelitori pentru caiete;;EXISTING;77;81
Rechizite scoala si gradinita > Lut polimeric si accesorii;Rechizite scoala si gradinita;Lut polimeric si accesorii;;EXISTING;4;4
Rechizite scoala si gradinita > Mape si genti p-u scoala;Rechizite scoala si gradinita;Mape si genti p-u scoala;;EXISTING;25;25
Rechizite scoala si gradinita > Pahare si palete;Rechizite scoala si gradinita;Pahare si palete;;EXISTING;15;15
Rechizite scoala si gradinita > Pasta pentru sculptura;Rechizite scoala si gradinita;Pasta pentru sculptura;;EXISTING;8;8
